7786: (0, 0) (2212082615, 1) (0, 0) 
7841: (870091300, -1) (0, 0) (0, 0) 
7883: (0, 0) (0, 0) (236854074, 2) 
7948: (0, 0) (0, 0) (1485716493, -1) 
8015: (0, 0) (2892367882, 1) (0, 0) 
8061: (0, 0) (2390954800, 4) (0, 0) 
8078: (1469791272, 2) (0, 0) (0, 0) 
8110: (0, 0) (3925694581, 1) (0, 0) 
8131: (0, 0) (2351161697, 1) (0, 0) 
8160: (0, 0) (3666007772, 1) (0, 0) 
8164: (0, 0) (0, 0) (2735704328, 2) 
8258: (4160560763, 1) (0, 0) (0, 0) 
8319: (2482342540, -1) (0, 0) (0, 0) 
8325: (0, 0) (0, 0) (1138689635, -1) 
8371: (3177876346, -1) (0, 0) (0, 0) 
8443: (0, 0) (0, 0) (4059986689, 1) 
8445: (0, 0) (2283859026, -1) (0, 0) 
8534: (0, 0) (3244811629, 1) (0, 0) 
8551: (1863411582, -1) (0, 0) (0, 0) 
8556: (3343513404, 1) (0, 0) (0, 0) 
8743: (0, 0) (1137776145, -2) (0, 0) 
8782: (4271432048, 1) (0, 0) (0, 0) 
8953: (462741464, -1) (0, 0) (0, 0) 
9001: (0, 0) (3234234726, 1) (0, 0) 
9013: (0, 0) (1610904305, -2) (0, 0) 
9183: (747078783, -1) (0, 0) (0, 0) 
9226: (0, 0) (529850328, 1) (0, 0) 
9228: (0, 0) (1778637495, -1) (0, 0) 
9265: (2723080454, -1) (0, 0) (0, 0) 
9276: (0, 0) (274877963, 1) (0, 0) 
9283: (0, 0) (0, 0) (4107462940, -1) 
9389: (0, 0) (2173680340, -1) (1012428580, 1) 
9446: (0, 0) (1488563826, 1) (0, 0) 
9449: (3680463946, -1) (0, 0) (0, 0) 
9455: (1826697346, -1) (0, 0) (0, 0) 
9509: (0, 0) (3585141251, 1) (0, 0) 
9685: (0, 0) (81909260, -2) (0, 0) 
9693: (0, 0) (4050307457, 1) (0, 0) 
9694: (0, 0) (0, 0) (1657222240, 1) 
9793: (0, 0) (3023976739, 7) (0, 0) 
9796: (160160951, 1) (0, 0) (0, 0) 
9817: (0, 0) (0, 0) (2795754557, 2) 
9835: (311422748, -1) (0, 0) (0, 0) 
9903: (0, 0) (4019802214, 6) (0, 0) 
9938: (0, 0) (1192746040, -2) (0, 0) 
9967: (0, 0) (0, 0) (3952774499, 1) 
10056: (879643764, 1) (0, 0) (0, 0) 
10086: (0, 0) (1088231799, 1) (0, 0) 
10113: (3575157992, -2) (0, 0) (0, 0) 
10232: (0, 0) (3153476738, 1) (0, 0) 
10270: (329419044, 1) (0, 0) (0, 0) 
10339: (3871489097, -1) (0, 0) (0, 0) 
10354: (0, 0) (3959513470, 1) (0, 0) 
10420: (0, 0) (460942220, 5) (0, 0) 
10444: (105905253, 3) (0, 0) (0, 0) 
10465: (0, 0) (3672755751, 1) (0, 0) 
10509: (0, 0) (4114272378, 1) (0, 0) 
10680: (0, 0) (0, 0) (314036121, 2) 
10743: (0, 0) (2478620108, 1) (0, 0) 
10778: (0, 0) (1917661594, 3) (0, 0) 
10858: (0, 0) (1299431882, -1) (0, 0) 
10932: (0, 0) (0, 0) (2346829074, 1) 
11000: (1543402341, 1) (0, 0) (0, 0) 
11004: (3830017888, 1) (0, 0) (0, 0) 
